_weight,_likelihood,$\Omega_m\ \mathrm{Blinded}$,$w\ \mathrm{Blinded}$
2.00000,13.35862,0.42934,-1.36304
1.00000,11.72869,0.37475,-1.05770
3.00000,12.97063,0.32975,-0.98323
3.00000,11.96793,0.34577,-0.90779
10.00000,11.86488,0.34441,-0.96503
1.00000,11.82208,0.36865,-0.96753
3.00000,11.82026,0.41371,-1.11731
7.00000,11.59043,0.37955,-1.03798
3.00000,11.89674,0.33618,-0.90183
1.00000,12.31972,0.34177,-0.87746
1.00000,13.78985,0.30171,-0.75900
1.00000,13.34100,0.30314,-0.77362
1.00000,12.24612,0.36219,-0.92331
1.00000,11.71698,0.38326,-1.08536
10.00000,11.87439,0.36661,-1.04492
2.00000,12.04537,0.34272,-0.97695
1.00000,11.71435,0.38196,-1.08061
2.00000,12.09016,0.42301,-1.12890
2.00000,12.24914,0.43432,-1.17174
2.00000,12.17032,0.43267,-1.17146
1.00000,13.03350,0.35389,-1.06419
1.00000,12.94926,0.34741,-1.03918
2.00000,12.33343,0.35377,-1.03242
1.00000,12.94149,0.36684,-1.10549
4.00000,11.93595,0.42475,-1.23288
2.00000,11.93568,0.42118,-1.22611
1.00000,12.05809,0.43231,-1.26504
6.00000,11.78259,0.41240,-1.18153
2.00000,11.66579,0.40251,-1.13446
6.00000,12.20908,0.44117,-1.22423
3.00000,11.99655,0.43373,-1.24888
2.00000,12.00354,0.41659,-1.22300
5.00000,12.03250,0.39743,-1.16421
1.00000,12.13481,0.37214,-1.08362
10.00000,11.77700,0.37915,-1.07862
3.00000,11.82562,0.35056,-0.93053
4.00000,11.88439,0.34294,-0.91160
2.00000,12.11552,0.31394,-0.85384
2.00000,12.90127,0.40822,-1.25737
1.00000,12.67784,0.41392,-1.26633
2.00000,12.15730,0.35278,-1.01875
2.00000,12.06989,0.31510,-0.87532
3.00000,12.33853,0.29417,-0.83332
3.00000,12.28135,0.44312,-1.31306
4.00000,14.14868,0.31311,-0.76773
1.00000,15.20286,0.39766,-0.91699
5.00000,14.46996,0.39327,-0.92366
1.00000,13.58835,0.38540,-0.92813
4.00000,11.67881,0.40542,-1.10463
5.00000,11.64485,0.40357,-1.12908
10.00000,12.34106,0.30729,-0.82375
2.00000,13.22504,0.34506,-0.84841
4.00000,12.91095,0.46692,-1.35230
2.00000,12.16200,0.42743,-1.27016
7.00000,13.61495,0.30087,-0.76239
7.00000,11.81627,0.36181,-1.02238
12.00000,11.74698,0.36195,-0.96128
2.00000,12.18556,0.40499,-1.20200
3.00000,12.53450,0.39526,-1.18943
1.00000,13.04470,0.31596,-0.80279
